Name,MW,LogP,HBD,HBA,RB,TPSA,Label,Num_C,Num_H,Num_N,Num_O,Num_F,Num_Cl,Num_Br,Num_S,Num_P
129211,408.52000000000015,2.3408999999999995,2,6,11,99.88,1,20,0,2,5,0,0,0,1,0
149096,361.3730000000001,1.5439999999999998,1,6,2,75.01,1,18,0,3,4,1,0,0,0,0
16129678,1619.8779999999974,-6.803829999999984,23,21,51,686.1299999999994,1,71,1,24,18,0,0,0,1,0
1983,151.16499999999996,1.3505999999999998,2,2,1,49.33,1,8,0,1,2,0,0,0,0,0
2083,239.31499999999997,1.3059999999999996,4,4,4,72.72,1,13,0,1,3,0,0,0,0,0
2118,308.772,3.5801200000000017,0,4,1,43.07,1,17,0,4,0,0,1,0,0,0
2162,408.88200000000023,2.2662999999999993,2,7,8,99.88,1,20,0,2,5,0,1,0,0,0
2244,180.15899999999996,1.3101,1,3,2,63.6,1,9,0,0,4,0,0,0,0,0
2519,194.194,-1.0293,0,6,0,61.82,1,8,0,4,2,0,0,0,0,0
2678,388.8950000000001,3.148200000000002,1,4,8,53.010000000000005,1,21,0,2,3,0,1,0,0,0
2724385,780.9490000000002,2.218100000000006,6,14,7,203.05999999999997,1,41,0,0,14,0,0,0,0,0
2764,331.3470000000001,1.5833,2,5,3,74.57,1,17,0,3,3,1,0,0,0,0
2802,315.716,3.037700000000001,1,4,2,84.6,1,15,0,3,3,0,1,0,0,0
3001055,314.41100000000006,1.4589999999999999,2,7,10,83.58000000000001,1,13,0,4,3,0,0,0,1,0
3016,284.746,3.1538000000000013,0,2,1,32.67,1,16,0,2,1,0,1,0,0,0
3033,296.153,4.364100000000002,2,2,4,49.33,1,14,0,1,2,0,2,0,0,0
33613,365.4110000000001,0.023700000000001165,4,6,4,132.96,1,16,0,3,5,0,0,0,1,0
3386,309.3310000000001,4.435000000000004,1,2,6,21.259999999999998,1,17,0,1,1,3,0,0,0,0
3440,330.7490000000001,1.8907,3,5,5,122.63000000000001,1,12,0,2,5,0,1,0,1,0
3672,206.285,3.0732000000000017,1,1,4,37.3,1,13,0,0,2,0,0,0,0,0
3957,382.8910000000001,4.887800000000004,0,3,1,42.43,1,22,0,2,2,0,1,0,0,0
3958,321.163,3.101300000000001,2,3,1,61.69,1,15,0,2,2,0,2,0,0,0
3961,422.9200000000001,4.266800000000003,2,6,8,92.51,1,22,0,6,1,0,1,0,0,0
4091,129.167,-1.2438299999999995,3,1,0,91.49,1,4,1,5,0,0,0,0,0,0
4171,267.36899999999997,1.613199999999999,2,4,9,50.72,1,15,0,1,3,0,0,0,0,0
444036,500.5790000000004,4.430000000000003,1,6,4,80.67,1,25,0,0,5,3,0,0,1,0
447043,748.996,1.9007000000000112,5,14,7,180.08,1,38,0,2,12,0,0,0,0,0
4485,346.3390000000001,2.1756,1,7,4,107.77,1,17,0,2,6,0,0,0,0,0
4510,227.08499999999998,-1.0201000000000002,0,9,8,157.10999999999996,1,3,0,3,9,0,0,0,0,0
4594,345.4240000000001,2.8997400000000013,1,5,5,77.10000000000001,1,17,0,3,3,0,0,0,1,0
4595,293.37,3.1285200000000017,0,4,2,39.82,1,18,0,3,1,0,0,0,0,0
4679,383.37600000000015,2.8843000000000005,1,6,7,86.33,1,16,0,3,4,2,0,0,1,0
4946,259.349,2.5775000000000006,2,3,6,41.49,1,16,0,1,2,0,0,0,0,0
5002,383.51700000000005,2.8560000000000016,1,6,5,48.300000000000004,1,21,0,3,2,0,0,0,1,0
5073,410.49300000000017,3.5904200000000026,0,6,4,64.16,1,23,0,4,2,1,0,0,0,0
5281004,430.5410000000003,2.716800000000001,2,6,4,93.06,1,25,0,0,6,0,0,0,0,0
5281040,586.1970000000002,8.948000000000002,2,4,12,70.42,1,35,0,1,3,0,1,0,1,0
5284379,547.5080000000005,1.6676200000000005,2,6,7,98.17999999999999,1,26,0,4,3,0,2,0,1,0
5284569,299.36999999999995,1.9332999999999996,0,4,1,38.77,1,18,0,1,3,0,0,0,0,0
