Gene	GSM346111	GSM346114	GSM346115	GSM346116	GSM346117	GSM346118	GSM346120	GSM346122	Mean_Expression
YAL001C	7.306	9.612	19.024	18.103	33.798	32.338	68.968	78.688	33.479625
YAL002W	5.232	3.233	5.633	5.636	9.363	10.402	14.625	14.187	8.538874999999999
YAL003W	4703.254	4720.791	2101.484	1602.842	1607.463	1713.607	1214.331	900.296	2320.5084999999995
YAL007C	116.87	153.757	210.688	186.271	284.111	281.026	374.935	323.755	241.426625
YAL008W	44.24	33.899	107.962	146.483	67.872	51.375	114.855	122.259	86.118125
YAL009W	5.271	8.114	16.215	14.417	108.384	103.978	126.746	129.171	64.037
YAL010C	11.508	7.697	15.38	16.185	38.54	36.147	45.574	39.139	26.271250000000002
YAL011W	6.265	6.919	2.023	2.607	17.593	15.168	22.949	12.089	10.701625
YAL012W	673.22	556.235	3183.424	2867.194	91.141	86.102	981.382	789.286	1153.498
YAL013W	18.155	14.296	28.067	30.225	35.952	24.774	62.682	54.898	33.631125000000004
YAL014C	25.238	17.718	27.995	36.923	40.271	50.233	113.578	89.096	50.1315
YAL015C	7.839	7.391	13.714	22.429	53.888	55.197	73.728	76.333	38.814875
YAL016W	119.318	102.99	171.947	178.879	160.905	155.798	228.94	259.801	172.32225
YAL017W	9.109	8.725	21.481	19.858	15.565	16.983	48.383	48.981	23.635625
YAL018C	0.0	0.0	0.0	0.5	0.703	0.864	1.19	0.429	0.46074999999999994
YAL019W	29.115	22.222	7.837	8.367	34.88	27.086	16.815	12.51	19.854
YAL020C	6.452	8.216	11.367	7.812	51.475	43.587	44.134	42.34	26.922875
YAL021C	51.258	42.749	64.006	52.409	26.018	23.004	29.198	26.932	39.44675
YAL022C	23.843	24.672	33.412	30.243	86.356	105.057	98.921	138.22	67.59049999999999
YAL023C	139.866	106.5	118.912	89.359	64.016	74.603	78.692	76.356	93.538
YAL024C	4.236	3.018	5.002	4.777	8.154	9.76	9.469	6.543	6.369875
YAL025C	128.878	130.623	26.102	18.057	280.707	224.212	109.911	60.191	122.335125
YAL026C	14.614	15.201	19.316	22.522	29.459	26.291	39.824	38.469	25.711999999999996
YAL027W	16.441	12.482	27.356	20.528	115.429	82.406	87.307	79.583	55.191500000000005
YAL028W	1.482	2.995	3.99	9.563	7.372	6.041	13.209	16.157	7.601125
YAL029C	13.596	13.214	12.055	9.209	35.405	27.159	35.895	26.007	21.567500000000003
YAL030W	97.856	78.142	195.66	253.093	49.074	35.186	173.007	137.38	127.42475
YAL031C	6.443	7.498	11.654	21.023	23.22	23.476	31.639	38.496	20.431124999999998
YAL032C	22.173	16.392	18.876	21.032	47.065	32.386	18.379	32.801	26.137999999999998
YAL033W	58.439	68.42	33.879	49.58	213.035	203.665	100.139	104.417	103.94675
YAL034C	3.314	2.295	7.135	12.215	9.971	4.085	11.248	17.931	8.52425
YAL034W-A	12.156	12.371	18.904	13.491	44.253	30.111	41.454	42.957	26.962125
YAL035W	320.55	400.731	136.447	195.846	160.426	136.429	156.457	100.922	200.976
YAL036C	150.927	133.815	36.49	17.192	213.787	208.446	76.549	54.881	111.510875
YAL037C-A	0.0	0.0	0.0	0.0	0.0	5.944	0.0	0.0	0.743
YAL037W	0.731	1.181	4.72	5.474	34.197	25.921	13.021	25.587	13.854000000000001
YAL038W	9643.182	8296.604	9139.913	6699.422	1700.026	2025.454	3522.993	3290.148	5539.71775
YAL039C	22.482	19.146	29.671	44.068	42.431	52.85	68.93	74.121	44.212374999999994
YAL040C	7.087	6.0	14.533	15.45	17.375	16.179	20.047	13.989	13.8325
YAL041W	21.105	18.169	23.711	26.352	44.292	47.403	49.059	43.941	34.254000000000005
YAL042W	99.874	94.167	108.543	126.664	348.948	386.904	498.144	492.263	269.438375
YAL043C	25.202	18.418	33.85	24.925	25.694	29.549	36.069	34.598	28.538125
YAL044C	369.337	446.65	1721.071	1635.222	929.918	1014.192	3371.404	3159.473	1580.908375
YAL044W-A	72.072	61.561	105.984	103.89	94.619	73.321	111.385	109.304	91.517
YAL046C	72.175	75.121	98.899	122.888	86.374	85.721	103.939	118.41	95.44087499999999
YAL047C	11.96	10.514	15.588	11.528	19.52	20.824	15.581	16.421	15.242
YAL048C	6.211	5.099	5.732	11.079	14.882	15.456	16.984	22.619	12.257750000000001
YAL049C	80.842	67.896	133.117	147.781	125.202	120.455	218.147	226.585	140.003125
YAL051W	7.675	10.589	12.898	12.153	20.151	14.628	14.826	16.723	13.705374999999998
YAL053W	35.273	26.822	42.016	46.02	43.616	52.892	38.142	36.474	40.156875
YAL054C	1.099	0.444	6.506	2.515	5.464	3.029	3.263	6.871	3.6488750000000003
YAL055W	18.369	18.047	32.573	34.178	34.138	27.974	68.466	52.514	35.782375
